document_id,category
Document_146528,42
Document_115983,13
Document_93931,8
Document_116102,10
Document_144281,42
Document_45786,41
Document_74833,41
Document_146452,42
Document_69415,27
Document_96631,21
Document_109901,19
Document_8318,3
Document_78173,31
Document_36076,3
Document_45718,41
Document_85369,27
Document_29619,2
Document_60160,4
Document_38626,4
Document_36663,41
Document_60419,26
Document_65166,28
Document_110961,15
Document_98877,12
Document_9991,3
Document_95599,31
Document_12001,5
Document_147937,23
Document_64519,28
Document_86102,34
Document_144124,36
Document_87641,35
Document_30081,37
Document_1185,41
Document_112329,31
Document_81812,41
Document_101090,0
Document_138926,39
Document_61408,20
Document_109374,17
Document_51334,23
Document_85833,30
Document_72632,32
Document_67168,28
Document_37922,41
Document_25100,20
Document_30913,5
Document_48072,21
Document_117200,16
Document_75438,23
Document_34981,41
Document_4594,18
Document_84273,34
Document_99676,1
Document_143666,42
Document_46111,20
Document_51681,21
Document_110377,11
Document_41363,39
Document_81760,32
Document_43554,39
Document_124866,1
Document_97656,10
Document_70281,8
Document_34606,18
Document_17201,7
Document_84973,34
Document_75169,23
Document_31397,37
Document_2999,0
Document_121970,41
Document_131551,4
Document_81710,32
Document_25228,3
Document_114133,41
Document_64013,33
Document_88407,35
Document_44165,39
Document_38903,19
Document_148013,5
Document_110977,16
Document_114004,16
Document_48006,21
Document_44909,20
Document_10790,4
Document_65574,27
Document_20000,17
Document_121206,0
Document_34355,38
Document_97451,10
Document_106769,5
Document_144848,42
Document_51677,33
Document_53524,33
Document_111507,10
Document_120825,13
Document_96812,10
Document_37646,19
Document_116750,16
Document_129352,0
Document_38952,22
Document_137100,40
Document_31311,37
Document_82620,12
Document_131536,5
Document_35533,19
Document_65922,21
Document_50268,21
Document_25670,3
Document_145483,17
Document_65423,28
Document_56179,25
Document_61567,20
Document_110929,16
Document_58240,33
Document_76609,22
Document_137948,32
Document_10511,41
Document_85718,34
Document_46173,20
Document_146513,22
Document_136863,32
Document_61825,2
Document_37055,3
Document_34605,18
Document_69408,27
Document_51683,34
Document_25493,3
Document_45030,41
Document_96192,14
Document_17792,7
Document_33332,38
Document_105367,11
Document_45747,41
Document_115,41
Document_51530,23
Document_133478,4
Document_146651,42
Document_62379,19
Document_119603,15
Document_143977,19
Document_46658,20
Document_130557,5
Document_2327,0
Document_52666,34
Document_89390,25
Document_145750,0
Document_65279,28
Document_52426,21
Document_147674,30
Document_57038,25
Document_1576,41
Document_49984,22
Document_22237,17
Document_31447,37
Document_74113,30
Document_112447,14
Document_7763,3
Document_115291,13
Document_92376,8
Document_84290,33
Document_47228,20
Document_99540,9
Document_6728,0
Document_138418,12
Document_1945,38
Document_118721,40
Document_68729,25
Document_124927,40
Document_93652,8
Document_20983,17
Document_112646,11
Document_69397,27
Document_23546,19
Document_31506,37
Document_30485,37
Document_123881,8
Document_72371,25
Document_22685,19
Document_3878,0
Document_4575,18
Document_42538,39
Document_82539,18
Document_141158,41
Document_61427,20
Document_129458,0
Document_26280,3
Document_133928,5
Document_14061,6
Document_69746,27
Document_39078,4
Document_51708,34
Document_144647,40
Document_118476,14
Document_108956,41
Document_9181,3
Document_28863,41
Document_89995,35
Document_115677,13
Document_100703,9
Document_76492,31
Document_140594,31
Document_100048,0
Document_49142,12
Document_102669,20
Document_36285,22
Document_57177,25
Document_53528,17
Document_108960,20
Document_123585,41
Document_31539,37
Document_53284,33
Document_96795,10
Document_91569,15
Document_12732,2
Document_143504,42
Document_136468,40
Document_71647,14
Document_34496,38
Document_6019,1
Document_8138,2
Document_43607,0
Document_88031,21
Document_109907,28
Document_50602,23
Document_125480,16
Document_906,18
Document_57584,25
Document_7141,3
Document_142041,13
Document_89633,21
Document_61714,2
Document_52272,33
Document_120629,13
Document_11180,4
Document_66205,28
Document_63495,28
Document_131953,37
Document_102602,39
Document_116567,11
Document_143904,0
Document_13430,2
Document_114736,10
Document_129759,31
Document_57887,25
Document_59074,21
Document_3738,0
Document_95732,10
Document_124200,10
Document_104224,41
Document_144666,42
Document_46899,20
Document_56595,35
Document_14399,6
Document_30904,37
Document_121777,10
Document_125182,16
Document_47902,25
Document_110964,0
Document_89772,35
Document_34498,38
Document_106278,36
Document_4665,0
Document_10213,4
Document_59893,35
Document_85484,34
Document_48027,21
Document_21862,17
Document_31193,37
Document_65766,27
Document_123964,10
Document_33810,38
Document_113472,8
Document_95938,21
Document_107176,31
Document_114282,15
Document_136497,40
Document_28716,40
Document_17933,7
Document_92168,11
Document_98429,9
Document_68540,27
Document_59384,41
Document_111300,14
Document_42152,1
Document_70839,12
Document_24684,20
Document_131093,4
Document_12916,5
Document_81665,32
Document_87861,35
Document_68844,27
Document_127110,0
Document_17497,7
Document_4495,0
Document_92491,8
Document_38750,4
Document_85392,33
Document_12355,41
Document_96513,21
Document_28891,26
Document_89693,25
Document_121116,3
Document_90149,35
Document_72348,26
Document_145236,42
Document_131433,4
Document_66869,6
Document_87143,35
Document_123430,14
Document_132103,4
Document_109729,42
Document_101328,40
Document_73589,25
Document_102616,20
Document_136125,31
Document_41332,39
Document_33770,0
Document_115914,13
Document_4556,18
Document_100188,9
Document_135141,42
Document_73496,25
Document_82930,5
Document_3580,0
Document_35602,41
Document_838,41
Document_61996,2
Document_127206,13
Document_106803,5
Document_67869,27
Document_3484,0
Document_71140,12
Document_55534,24
Document_24337,20
Document_50062,30
Document_68953,27
Document_502,18
Document_49551,22
Document_1047,20
Document_88109,35
Document_125706,16
Document_9298,3
Document_118655,8
Document_110141,12
Document_42577,39
Document_41191,3
Document_11566,4
Document_134699,31
Document_13253,5
Document_39514,19
Document_25700,3
Document_74742,23
Document_84051,33
Document_112245,10
Document_16188,7
Document_147339,36
Document_15844,6
Document_105639,40
Document_98284,9
Document_83347,33
Document_25284,3
Document_79943,12
Document_6057,1
Document_128164,0
Document_23053,18
Document_128407,0
Document_50195,21
Document_111243,0
Document_72386,25
Document_74488,30
Document_128890,14
Document_73571,25
Document_139234,25
Document_105719,7
Document_74701,30
Document_91106,21
Document_19461,17
Document_32738,2
Document_46401,20
Document_102942,19
Document_24179,19
Document_12878,5
Document_21592,17
Document_13766,6
Document_136438,40
Document_47215,20
Document_111684,10
Document_98915,9
Document_5562,0
Document_30790,41
Document_13493,5
Document_60954,27
Document_100215,0
Document_30324,37
Document_117284,16
Document_8690,3
Document_118203,11
Document_52687,27
Document_116184,13
Document_143065,42
Document_142132,13
Document_136357,40
Document_45120,0
Document_92749,8
Document_6409,0
Document_79733,15
Document_109771,0
Document_36092,41
Document_22595,18
Document_104118,11
Document_46491,25
Document_8289,7
Document_304,18
Document_122797,12
Document_27824,39
Document_138121,31
Document_37283,39
Document_107319,36
Document_10288,41
Document_104620,11
Document_22342,17
Document_75522,30
Document_105562,13
Document_37574,0
Document_44853,18
Document_38666,17
Document_74075,30
Document_145722,12
Document_77197,34
Document_38163,41
Document_28027,22
Document_113515,15
Document_55915,24
Document_72471,25
Document_34038,38
Document_78355,31
Document_92327,8
Document_18285,7
Document_12586,5
Document_112520,16
Document_57780,25
Document_30679,37
Document_71498,14
Document_18734,7
Document_145130,25
Document_114356,15
Document_57694,25
Document_117204,0
Document_7994,3
Document_121485,40
Document_129639,8
Document_37809,41
Document_11888,37
Document_92458,8
Document_15808,7
Document_14292,6
Document_111905,8
Document_136196,15
Document_34901,3
Document_138887,36
Document_130167,5
Document_32435,38
Document_110891,15
Document_100691,23
Document_25043,20
Document_48592,28
Document_115180,12
Document_133189,42
Document_130387,4
Document_133206,36
Document_94195,8
Document_27643,7
Document_90205,21
Document_139539,36
Document_60343,41
Document_90809,35
Document_35366,18
Document_116326,42
Document_133520,31
Document_39590,19
Document_49062,33
Document_97378,10
Document_50848,34
Document_129049,3
Document_5372,0
Document_98433,9
Document_94832,8
Document_13134,5
Document_78446,31
Document_19025,7
Document_138604,13
Document_122197,2
Document_84113,33
Document_140371,11
Document_60316,26
Document_35586,19
Document_146864,42
Document_119509,15
Document_68333,3
Document_75647,19
Document_1079,20
Document_9492,4
Document_27850,22
Document_28828,27
Document_52322,27
Document_58660,25
Document_60472,4
Document_107223,17
Document_48956,28
Document_26548,2
Document_65058,28
Document_80170,20
Document_30542,20
Document_96022,21
Document_113354,15
Document_131215,5
Document_147528,0
Document_145362,12
Document_2938,0
Document_139250,36
Document_92441,8
Document_80790,5
Document_28589,40
Document_92388,8
Document_114357,15
Document_122569,12
Document_139722,18
Document_145420,0
Document_76257,26
Document_3073,0
Document_128487,0
Document_14555,2
Document_126514,3
Document_135568,31
Document_41926,39
Document_4550,18
Document_120537,14
Document_128496,9
Document_13504,5
Document_107462,31
Document_51281,23
Document_68771,27
Document_26356,3
Document_93892,8
Document_105419,5
Document_39611,20
Document_42312,41
Document_96257,20
Document_20068,17
Document_119532,15
Document_64621,28
Document_22088,19
Document_16930,7
Document_66784,28
Document_95294,41
Document_37135,38
Document_79899,42
Document_147915,17
Document_86434,38
Document_110513,17
Document_15177,2
Document_76451,29
Document_71361,14
Document_70312,41
Document_27925,39
Document_136087,31
Document_14037,6
Document_97499,10
Document_69971,30
Document_61484,20
Document_31631,37
Document_109515,28
Document_98244,9
Document_128864,5
Document_87230,35
Document_65586,28
Document_68810,30
Document_94102,8
Document_135703,18
Document_51835,21
Document_77651,21
Document_61339,20
Document_116600,11
Document_2091,18
Document_92138,14
Document_131385,4
Document_99874,10
Document_18692,7
Document_121186,12
Document_35312,18
Document_102712,41
Document_29754,37
Document_89741,35
Document_39068,19
Document_112634,15
Document_57434,22
Document_109231,14
Document_140652,9
Document_130051,2
Document_82202,41
Document_55756,34
Document_86897,36
Document_105174,0
Document_96167,41
Document_134798,32
Document_32957,38
Document_15695,7
Document_81078,32
Document_137733,41
Document_7786,3
Document_92600,8
Document_119393,25
Document_128072,0
Document_13505,5
Document_86955,36
Document_141124,41
Document_98653,12
Document_130683,0
Document_115501,40
Document_116229,13
Document_108963,42
Document_760,20
Document_21597,17
Document_28971,2
Document_146028,15
Document_109597,8
Document_54035,24
Document_59784,26
Document_37183,0
Document_79643,5
Document_55522,24
Document_107625,32
Document_126340,5
Document_78079,31
Document_13139,5
Document_146894,42
Document_95854,23
Document_26681,3
Document_106517,9
Document_86968,36
Document_98672,9
Document_69556,27
Document_45136,18
Document_72414,25
Document_28862,5
Document_125621,16
Document_33230,18
Document_66012,28
Document_28297,4
Document_98799,9
Document_6770,3
Document_70056,27
Document_137218,40
Document_28642,4
Document_50363,23
Document_129814,41
Document_127543,12
Document_88265,35
Document_29892,37
Document_98532,9
Document_89669,25
Document_11132,5
Document_19591,18
Document_39700,17
Document_119421,15
Document_146265,31
Document_4927,17
Document_22155,19
Document_108109,5
Document_124827,0
Document_91759,41
Document_144829,29
Document_122987,8
Document_117115,13
Document_52737,19
Document_34881,19
Document_124710,11
Document_121094,8
Document_137010,40
Document_50573,23
Document_35012,41
Document_134631,32
Document_2800,0
Document_144698,36
Document_98764,9
Document_98787,9
Document_30524,26
Document_130404,5
Document_106775,26
Document_6847,5
Document_28399,5
Document_136000,15
Document_30250,2
Document_84100,33
Document_104750,11
Document_59896,26
Document_131557,4
Document_69281,28
Document_104926,41
Document_76895,19
Document_21211,17
Document_46616,31
Document_143183,42
Document_145919,42
Document_3992,0
Document_22249,17
Document_43349,39
Document_148643,5
Document_126891,7
Document_65755,28
Document_124915,31
Document_111996,13
Document_78667,41
Document_93002,8
Document_92287,8
Document_29007,5
Document_58789,35
Document_101919,39
Document_121562,11
Document_46571,32
Document_125547,16
Document_114306,15
Document_69957,21
Document_45004,40
Document_136698,12
Document_89298,23
Document_84330,33
Document_28209,22
Document_26561,42
Document_29441,37
Document_94098,8
Document_68822,27
Document_133947,31
Document_148001,2
Document_40101,0
Document_10631,4
Document_55708,24
Document_8363,3
Document_48310,28
Document_101229,30
Document_1088,40
Document_80876,12
Document_24505,34
Document_33657,38
Document_99582,10
Document_143112,8
Document_99504,31
Document_129329,0
Document_144414,42
Document_123128,16
Document_23850,0
Document_115414,8
Document_122234,41
Document_114459,16
Document_65959,28
Document_26940,41
Document_26334,3
Document_39084,19
Document_132169,20
Document_74865,30
Document_135582,40
Document_5545,0
Document_76920,33
Document_115542,12
Document_115247,10
Document_59202,25
Document_60458,26
Document_137760,11
Document_118743,40
Document_135075,18
Document_16883,7
Document_92991,8
Document_79759,12
Document_126429,41
Document_101522,41
Document_100257,0
Document_49478,22
Document_35404,18
Document_71003,12
Document_11026,4
Document_35456,18
Document_798,18
Document_98278,9
Document_141036,41
Document_58143,25
Document_52785,33
Document_71285,33
Document_83195,32
Document_105800,12
Document_31209,38
Document_61048,30
Document_74207,30
Document_72045,8
Document_28996,5
Document_127885,22
Document_52939,21
Document_134292,0
Document_49222,31
Document_99761,41
Document_32502,38
Document_66479,25
Document_143670,42
Document_121524,2
Document_134588,5
Document_147429,42
Document_88889,21
Document_30868,37
Document_120774,32
Document_132194,3
Document_34291,38
Document_103451,23
Document_472,20
Document_136816,32
Document_17411,7
Document_38136,41
Document_90738,21
Document_1802,38
Document_102710,23
Document_12401,5
Document_108111,17
Document_31580,12
Document_101217,12
Document_122817,12
Document_88872,35
Document_47028,20
Document_5984,1
Document_28347,5
Document_130095,4
Document_5836,18
Document_73900,30
Document_145489,18
Document_98497,9
Document_38942,19
Document_86254,34
Document_23870,19
Document_11097,4
Document_130089,4
Document_51483,23
Document_112246,11
Document_92020,14
Document_38251,18
Document_98168,9
Document_26740,41
Document_33185,38
Document_116671,16
Document_76168,29
Document_67682,21
Document_139673,36
Document_47828,20
Document_18321,7
Document_45315,17
Document_112607,10
Document_20397,17
Document_71702,14
Document_114283,9
Document_114156,15
Document_144800,1
Document_114334,41
Document_15946,7
Document_40535,3
Document_30725,37
Document_64788,28
Document_138867,36
Document_83088,30
Document_56114,13
Document_17269,38
Document_47761,20
Document_112853,30
Document_85717,33
Document_127681,19
Document_108552,23
Document_38436,10
Document_40921,0
Document_37457,2
Document_119131,9
Document_15153,6
Document_62862,28
Document_58065,22
Document_10107,41
Document_33905,38
Document_15939,7
Document_25543,22
Document_110528,9
Document_92698,8
Document_96293,21
Document_114745,12
Document_108794,32
Document_122719,12
Document_35270,5
Document_46663,20
Document_99541,23
Document_85082,34
Document_4004,0
Document_44383,40
Document_40630,0
Document_94891,8
Document_56227,25
Document_48226,21
Document_11234,4
Document_8599,3
Document_81594,32
Document_120741,12
Document_24545,20
Document_29762,37
Document_129737,31
Document_133709,5
Document_57957,25
Document_137096,5
Document_3215,1
Document_19291,17
Document_97433,10
Document_45345,20
Document_66217,28
Document_107324,24
Document_51355,23
Document_59591,32
Document_83350,23
Document_135930,2
Document_26310,3
Document_26092,20
Document_114542,8
Document_86168,19
Document_50038,30
Document_55537,24
Document_12781,5
Document_24755,20
Document_80091,32
Document_71857,14
Document_90097,25
Document_20697,17
Document_66966,28
Document_71068,12
Document_61764,19
Document_116282,8
Document_80470,41
Document_111799,15
Document_12400,5
Document_100971,4
Document_117572,16
Document_60828,24
Document_78322,31
Document_146306,13
Document_112978,13
Document_129156,1
Document_108424,18
Document_73708,30
Document_62898,28
Document_106030,40
Document_60320,32
Document_78264,31
Document_80273,32
Document_77386,41
Document_26718,3
Document_131580,4
Document_15983,7
Document_80988,5
Document_87494,35
Document_61144,20
Document_46582,20
Document_57085,25
Document_124420,1
Document_104246,2
Document_112659,15
Document_74570,30
Document_129762,41
Document_108489,31
Document_69437,27
Document_53838,24
Document_72016,14
Document_140901,19
Document_23232,18
Document_81359,32
Document_17712,7
Document_72942,25
Document_35066,41
Document_37012,4
Document_137159,5
Document_137876,31
Document_58772,21
Document_80503,32
Document_81279,32
Document_68993,27
Document_102226,0
Document_119083,10
Document_127479,0
Document_49861,33
Document_12723,5
Document_134086,32
Document_19181,7
Document_33294,38
Document_82497,12
Document_38256,19
Document_41169,40
Document_52188,33
Document_104293,41
Document_76704,29
Document_4147,0
Document_95583,16
Document_94508,8
Document_66687,28
Document_27547,20
Document_117692,16
Document_19767,17
Document_7695,3
Document_97696,10
Document_76191,29
Document_7843,3
Document_96708,14
Document_57990,25
Document_64055,28
Document_123039,14
Document_13243,5
Document_91339,33
Document_9998,41
Document_50243,23
Document_10825,5
Document_140248,41
Document_85540,34
Document_39408,18
Document_76304,29
Document_31175,37
Document_84125,33
Document_120033,29
Document_33352,38
Document_78962,32
Document_17409,7
Document_3802,0
Document_134038,0
Document_51858,33
Document_96184,25
Document_51609,27
Document_34102,38
Document_77639,33
Document_24237,19
Document_130966,5
Document_40798,41
Document_128468,0
Document_46564,20
Document_82046,32
Document_140655,31
Document_69028,27
Document_33947,38
Document_34966,41
Document_133759,5
Document_132356,5
Document_123358,8
Document_117343,16
Document_114037,15
Document_30479,37
Document_35989,41
Document_58101,25
Document_65240,28
Document_91538,11
Document_106507,41
Document_113015,1
Document_30079,5
Document_124905,40
Document_106385,0
Document_62291,15
Document_31681,4
Document_84569,33
Document_142618,13
Document_35669,3
Document_141728,13
Document_3015,0
Document_109083,17
Document_99424,15
Document_144429,9
Document_117732,16
Document_16981,6
Document_87324,35
Document_133743,5
Document_18690,6
Document_120911,11
Document_131914,4
Document_97115,10
Document_128941,14
Document_41524,39
Document_27707,41
Document_30877,37
Document_136105,12
Document_113194,11
Document_68720,27
Document_21611,17
Document_20153,17
Document_7047,3
Document_73063,21
Document_28516,20
Document_60286,26
Document_5104,0
Document_37695,19
Document_22087,17
Document_37882,41
Document_74602,30
Document_22994,18
Document_70736,12
Document_22899,18
Document_51301,28
Document_29440,37
Document_34014,19
Document_117142,16
Document_51219,23
Document_39386,19
Document_109441,19
Document_114851,29
Document_118867,12
Document_28729,26
Document_759,20
Document_73884,30
Document_118271,1
Document_65717,28
Document_38330,41
Document_71938,8
Document_93175,8
Document_77211,20
Document_48821,33
Document_87296,35
Document_35349,18
Document_64570,19
Document_107257,0
Document_48116,21
Document_56518,25
Document_1966,0
Document_74120,30
Document_61664,0
Document_128948,19
Document_71915,14
Document_115177,12
Document_48319,21
Document_136915,22
Document_5684,0
Document_71825,14
Document_106412,1
Document_52395,33
Document_39291,18
Document_96399,25
Document_93239,8
Document_6465,1
Document_118119,16
Document_141815,6
Document_60834,35
Document_69866,27
Document_126621,39
Document_129023,17
Document_32972,38
Document_130485,31
Document_42197,41
Document_122625,12
Document_60457,26
Document_60516,2
Document_105151,36
Document_81956,40
Document_141275,23
Document_69792,27
Document_76486,29
Document_68014,27
Document_24763,20
Document_81054,32
Document_87455,35
Document_108646,30
Document_116186,13
Document_86529,26
Document_29298,37
Document_138737,23
Document_132742,6
Document_103978,36
Document_65352,28
Document_69154,27
Document_36560,41
Document_58556,17
Document_58080,25
Document_20894,17
Document_138801,36
Document_12456,41
Document_29946,41
Document_81702,26
Document_103928,20
Document_43063,2
Document_105759,11
Document_143605,42
Document_122061,5
Document_19751,41
Document_38033,19
Document_102400,18
Document_36216,4
Document_26486,5
Document_77077,21
Document_139134,36
Document_105207,0
Document_4145,0
Document_75218,30
Document_72775,25
Document_65114,28
Document_3836,0
Document_16249,7
Document_21835,17
Document_1861,17
Document_47009,41
Document_73140,17
Document_67233,28
Document_68390,27
Document_95209,8
Document_109207,8
Document_101061,9
Document_143678,4
Document_50813,23
Document_9957,5
Document_126854,40
Document_56475,25
Document_129426,38
Document_65871,28
Document_82555,26
Document_6700,38
Document_86902,0
Document_121365,21
Document_136888,32
Document_87291,35
Document_53082,21
Document_51917,21
Document_128703,19
Document_134316,0
Document_26827,20
Document_134441,4
Document_37735,2
Document_148173,5
Document_145246,42
Document_11118,4
Document_71284,21
Document_74296,30
Document_101235,39
Document_110208,11
Document_105777,12
Document_29291,26
Document_85614,34
Document_76683,32
Document_22955,18
Document_110708,15
Document_111607,2
Document_31968,37
Document_99085,41
Document_77931,41
Document_71467,8
Document_118861,15
Document_72066,14
Document_2143,0
Document_132397,5
Document_115954,13
Document_107484,17
Document_62387,19
Document_118190,1
Document_61975,27
Document_78721,32
Document_85805,34
Document_29078,23
Document_86580,36
Document_4969,0
Document_70951,12
Document_16266,7
Document_68302,27
Document_113048,9
Document_16516,7
Document_138148,5
Document_45622,41
Document_95873,25
Document_15901,7
Document_83037,18
Document_21429,17
Document_5995,1
Document_128894,8
Document_63437,28
Document_91682,14
Document_106581,37
Document_60682,24
Document_121183,1
Document_44795,17
Document_124517,10
Document_133414,4
Document_58464,35
Document_51287,23
Document_71577,14
Document_27170,12
Document_65596,28
Document_84741,34
Document_144729,26
Document_19520,17
Document_107975,31
Document_119262,12
Document_124687,33
Document_91709,9
Document_97767,10
Document_132896,13
Document_21273,17
Document_21767,17
Document_26153,3
Document_43947,1
Document_306,18
Document_40625,0
Document_7132,3
Document_35941,19
Document_141812,41
Document_99718,10
Document_52432,21
Document_25830,39
Document_57093,29
Document_39292,19
Document_33360,38
Document_61454,32
Document_130094,5
Document_11650,4
Document_7867,3
Document_56111,12
Document_77105,34
Document_66292,28
Document_134052,4
Document_35647,20
Document_52716,30
Document_126548,5
Document_29721,37
Document_107928,19
Document_138461,40
Document_52732,21
Document_53852,26
Document_18418,7
Document_116025,13
Document_148633,5
Document_58960,21
Document_64066,28
Document_41997,39
Document_65275,28
Document_83204,32
Document_134781,32
Document_144365,42
Document_14391,6
Document_57733,25
Document_33497,38
Document_92029,14
Document_87708,26
Document_127075,18
Document_41668,39
Document_109940,36
Document_82499,32
Document_85471,30
Document_65663,28
Document_80827,32
Document_96495,21
Document_143865,36
Document_126904,22
Document_76450,29
Document_110368,15
Document_71477,14
Document_56851,25
Document_109352,32
Document_65204,28
Document_29138,37
Document_109612,23
Document_2736,1
Document_4738,0
Document_30635,37
Document_106949,40
Document_136400,40
Document_83602,34
Document_33358,38
Document_26587,3
Document_53275,21
Document_47492,28
Document_89222,19
Document_45208,40
Document_42211,39
Document_42795,3
Document_39217,19
Document_139169,36
Document_95301,9
Document_50455,23
Document_111214,15
Document_82465,5
Document_95200,40
Document_66230,28
Document_117394,16
Document_15245,3
Document_135095,31
Document_18612,7
Document_30255,37
Document_116865,16
Document_54038,24
Document_148063,0
Document_135460,2
Document_146407,42
Document_175,18
Document_45413,19
Document_1519,20
Document_130497,26
Document_44721,8
Document_148239,36
Document_10609,4
Document_32288,21
Document_138980,38
Document_104623,11
Document_21192,17
Document_75220,30
Document_52115,21
Document_124810,0
Document_74425,30
Document_84301,21
Document_141545,29
Document_50586,23
Document_45681,41
Document_64184,28
Document_79965,4
Document_30849,37
Document_28052,22
Document_2105,1
Document_21790,17
Document_130520,22
Document_10384,5
Document_26148,5
Document_123600,14
Document_65963,28
Document_118609,8
Document_104071,41
Document_50288,23
Document_68906,23
Document_102324,16
Document_74925,21
Document_7340,6
Document_92251,8
Document_53390,17
Document_66693,28
Document_11601,5
Document_24653,20
Document_36053,2
Document_61017,31
Document_121131,23
Document_115832,13
Document_30349,8
Document_121470,11
Document_136148,18
Document_89510,20
Document_21757,19
Document_138876,36
Document_59561,32
Document_66747,28
Document_63047,41
Document_23155,0
Document_80200,41
Document_125196,16
Document_121714,8
Document_43198,39
Document_66921,28
Document_36909,2
Document_13491,5
Document_73988,30
Document_88527,21
Document_39257,20
Document_78964,32
Document_94830,8
Document_9789,7
Document_7329,39
Document_121429,13
Document_119029,10
Document_93096,8
Document_23944,19
Document_68672,30
Document_655,20
Document_81879,41
Document_57084,25
Document_1263,20
Document_148267,36
Document_30327,37
Document_124789,10
Document_66632,28
Document_27825,39
Document_56629,25
Document_15835,7
Document_47044,20
Document_118737,15
Document_85319,34
Document_8563,2
Document_6297,1
Document_103044,20
Document_43138,41
Document_103778,20
Document_127200,38
Document_81856,32
Document_106635,5
Document_125485,16
Document_94343,8
Document_63558,28
Document_132446,4
Document_132727,3
Document_76670,29
Document_28676,26
Document_82087,12
Document_30534,37
Document_92025,14
Document_103795,32
Document_136495,40
Document_33834,38
Document_34310,2
Document_16606,7
Document_95241,14
Document_20414,19
Document_129549,14
Document_48313,33
Document_42870,39
Document_136277,13
Document_84968,34
Document_102620,20
Document_38774,5
